tip_movi,tip_naci,anio_movi,mes_movi,dia_movi,sex_migr,nac_migr,via_tran,mot_viam,cont_res,cont_nac,cont_prod,pais_prod,pais_res,jef_migr,edad
Salida,Ecuatorianos,2022,4,20,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ARGENTINA,ARGENTINA,1,23
Entrada,Ecuatorianos,2022,5,26,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,Europa,SUIZA SWITZERLAND,ECUADOR,1,68
Salida,Ecuatorianos,2022,12,8,Hombre,ECUADOR,Vía Terrestre,Residencia,América,América,América,COLOMBIA,ECUADOR,11,14
Salida,Ecuatorianos,2022,10,3,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,71
Entrada,Ecuatorianos,2022,2,1,Mujer,ECUADOR,Vía Aérea,Residencia,Europa,América,Europa,ESPAÑA,ESPAÑA,1,38
Entrada,Ecuatorianos,2022,5,8,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,COLOMBIA,ECUADOR,1,62
Salida,Ecuatorianos,2022,10,24,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,COLOMBIA,ECUADOR,11,28
Entrada,Ecuatorianos,2022,12,17,Mujer,ECUADOR,Vía Aérea,Eventos,América,América,América,REPUBLICA DOMINICANA DOMINICAN RP,REPUBLICA DOMINICANA DOMINICAN RP,12,41
Salida,Ecuatorianos,2022,9,22,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,Europa,ESPAÑA,ECUADOR,1,33
Salida,Ecuatorianos,2022,4,8,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,64
Salida,Ecuatorianos,2022,11,15,Hombre,ECUADOR,Vía Aérea,Otros,América,América,Europa,REPUBLICA DE MOLDOVA REP MOLDOVA,ECUADOR,1,27
Entrada,Ecuatorianos,2022,10,18,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,46
Entrada,Ecuatorianos,2022,8,20,Hombre,ECUADOR,Vía Terrestre,Residencia,América,América,América,PERU PERU,ECUADOR,9,57
Entrada,Ecuatorianos,2022,1,24,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,MEXICO MEXICO,ECUADOR,1,33
Salida,Ecuatorianos,2022,1,15,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,REPUBLICA DOMINICANA DOMINICAN RP,ECUADOR,1,26
Salida,Ecuatorianos,2022,11,24,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,COLOMBIA,ECUADOR,11,20
Salida,Ecuatorianos,2022,2,15,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,6
Salida,Ecuatorianos,2022,1,5,Hombre,ECUADOR,Vía Terrestre,Turismo,América,América,América,COLOMBIA,ECUADOR,11,25
Salida,Ecuatorianos,2022,8,10,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,18,21
Salida,Ecuatorianos,2022,9,17,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,64
Entrada,Ecuatorianos,2022,7,11,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,BRASIL BRAZIL,ECUADOR,12,54
Entrada,Ecuatorianos,2022,12,12,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,74
Entrada,Ecuatorianos,2022,3,13,Hombre,ECUADOR,Vía Terrestre,Residencia,América,América,América,PERU PERU,ECUADOR,9,38
Salida,Ecuatorianos,2022,5,18,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,1,31
Entrada,Ecuatorianos,2022,9,28,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,31
Salida,Ecuatorianos,2022,2,27,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,9,37
Entrada,Ecuatorianos,2022,2,11,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ESTADOS UNIDOS USA,12,22
Entrada,Ecuatorianos,2022,8,25,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,COLOMBIA,ECUADOR,1,18
Salida,Ecuatorianos,2022,10,31,Hombre,ECUADOR,Vía Aérea,Eventos,América,América,América,ARGENTINA,ECUADOR,1,47
Salida,Ecuatorianos,2022,9,12,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,43
Salida,Ecuatorianos,2022,4,1,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,REPUBLICA DOMINICANA DOMINICAN RP,ECUADOR,12,32
Salida,Ecuatorianos,2022,11,21,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,COLOMBIA,ECUADOR,11,28
Entrada,Ecuatorianos,2022,7,14,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,78
Salida,Ecuatorianos,2022,4,29,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,12,41
Salida,Ecuatorianos,2022,12,3,Hombre,ECUADOR,Vía Marítima,Otros,América,América,América,PERU PERU,ECUADOR,33,54
Salida,Ecuatorianos,2022,3,6,Hombre,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ESTADOS UNIDOS USA,9,52
Salida,Ecuatorianos,2022,2,13,Hombre,ECUADOR,Vía Aérea,Negocios,América,América,América,PERU PERU,ECUADOR,1,44
Salida,Ecuatorianos,2022,10,13,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,PANAMA PANAMA,ECUADOR,12,44
Salida,Ecuatorianos,2022,10,25,Hombre,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,9,27
